frame,thread_id,particles_processed,time_spent_ms,migrations_sent,migrations_received,insertions,removals,subdivisions,merges
107,3,0,0.000,0,0,0,0,0,0
108,0,0,0.000,1,0,0,0,0,0
108,1,0,0.000,0,0,0,0,0,0
108,2,0,0.000,0,0,0,0,0,0
108,3,27,0.517,0,0,27,0,0,0
109,0,0,0.000,0,0,0,0,0,0
109,1,0,0.000,0,0,0,0,0,0
109,2,0,0.000,0,0,0,0,0,0
109,3,27,0.105,0,0,27,0,0,0
110,0,0,0.000,0,0,0,0,0,0
110,1,0,0.000,0,0,0,0,0,0
110,2,0,0.000,0,0,0,0,0,0
110,3,0,0.000,0,0,0,0,0,0
111,0,429,0.124,0,0,429,0,0,0
111,1,0,0.000,0,0,0,0,0,0
111,2,24,0.127,0,0,24,0,0,0
111,3,27,0.130,0,0,27,0,0,0
112,0,429,0.192,0,0,429,0,0,0
112,1,0,0.000,0,0,0,0,0,0
112,2,24,0.209,0,0,24,0,0,0
112,3,27,0.203,0,0,27,0,0,0
113,0,0,0.000,0,0,0,0,0,0
113,1,0,0.000,0,0,0,0,0,0
113,2,0,0.000,0,0,0,0,0,0
113,3,0,0.000,0,0,0,0,0,0
114,0,0,0.000,0,0,0,0,0,0
114,1,0,0.000,0,0,0,0,0,0
114,2,0,0.000,0,0,0,0,0,0
114,3,0,0.000,0,0,0,0,0,0
115,0,429,0.116,0,0,429,0,0,0
115,1,0,0.000,0,0,0,0,0,0
115,2,0,0.000,0,0,0,0,0,0
115,3,0,0.000,0,0,0,0,0,0
116,0,429,0.106,0,0,429,0,0,0
116,1,0,0.000,0,0,0,0,0,0
116,2,0,0.000,0,0,0,0,0,0
116,3,27,0.111,0,0,27,0,0,0
117,0,429,0.170,0,0,429,0,0,0
117,1,0,0.000,0,0,0,0,0,0
117,2,0,0.000,0,0,0,0,0,0
117,3,0,0.000,0,0,0,0,0,0
118,0,429,0.103,0,0,429,0,0,0
118,1,0,0.000,0,0,0,0,0,0
118,2,0,0.000,0,0,0,0,0,0
118,3,27,0.107,0,0,27,0,0,0
119,0,429,0.101,0,0,429,0,0,0
119,1,0,0.000,0,0,0,0,0,0
119,2,0,0.000,0,0,0,0,0,0
119,3,27,0.102,0,0,27,0,0,0
120,0,429,0.125,0,0,429,0,0,0
120,1,0,0.000,0,0,0,0,0,0
120,2,0,0.000,0,0,0,0,0,0
120,3,27,0.135,0,0,27,0,0,0
121,0,0,0.000,0,0,0,0,0,0
121,1,0,0.000,0,0,0,0,0,0
121,2,0,0.000,0,0,0,0,0,0
121,3,0,0.000,0,0,0,0,0,0
122,0,429,0.115,0,0,429,0,0,0
122,1,0,0.000,0,0,0,0,0,0
122,2,0,0.000,0,0,0,0,0,0
122,3,0,0.000,0,0,0,0,0,0
123,0,429,0.102,0,0,429,0,0,0
123,1,0,0.000,0,0,0,0,0,0
123,2,0,0.000,0,0,0,0,0,0
123,3,27,0.107,0,0,27,0,0,0
124,0,429,0.099,0,0,429,0,0,0
124,1,0,0.000,0,0,0,0,0,0
124,2,0,0.000,0,0,0,0,0,0
124,3,27,0.100,0,0,27,0,0,0
125,0,429,0.104,0,0,429,0,0,0
125,1,0,0.000,0,0,0,0,0,0
125,2,0,0.000,0,0,0,0,0,0
125,3,0,0.000,0,0,0,0,0,0
126,0,0,0.000,0,0,0,0,0,0
126,1,0,0.000,0,0,0,0,0,0
126,2,0,0.000,0,0,0,0,0,0
126,3,0,0.000,0,0,0,0,0,0
127,0,429,0.118,0,0,429,0,0,0
127,1,0,0.000,0,0,0,0,0,0
127,2,0,0.000,0,0,0,0,0,0
127,3,0,0.000,0,0,0,0,0,0
128,0,429,0.100,0,0,429,0,0,0
128,1,0,0.000,1,0,0,0,0,0
128,2,0,0.000,0,0,0,0,0,0
128,3,27,0.104,0,0,27,0,0,0
129,0,429,0.101,0,0,429,0,0,0
129,1,0,0.000,0,0,0,0,0,0
129,2,0,0.000,0,0,0,0,0,0
129,3,27,0.102,0,0,27,0,0,0
130,0,429,0.105,0,0,429,0,0,0
130,1,0,0.000,0,0,0,0,0,0
130,2,0,0.000,0,0,0,0,0,0
130,3,0,0.000,0,0,0,0,0,0
131,0,0,0.000,0,0,0,0,0,0
131,1,0,0.000,0,0,0,0,0,0
131,2,0,0.000,0,0,0,0,0,0
131,3,0,0.000,0,0,0,0,0,0
132,0,429,0.128,0,0,429,0,0,0
132,1,0,0.000,0,0,0,0,0,0
132,2,0,0.000,0,0,0,0,0,0
132,3,27,0.137,0,0,27,0,0,0
133,0,429,0.104,0,0,429,0,0,0
133,1,0,0.000,0,0,0,0,0,0
133,2,0,0.000,0,0,0,0,0,0
133,3,27,0.112,0,0,27,0,0,0
134,0,429,0.104,0,0,429,0,0,0
134,1,0,0.000,0,0,0,0,0,0
134,2,0,0.000,0,0,0,0,0,0
134,3,27,0.106,0,0,27,0,0,0
135,0,429,0.104,0,0,429,0,0,0
135,1,0,0.000,0,0,0,0,0,0
135,2,0,0.000,0,0,0,0,0,0
135,3,0,0.000,0,0,0,0,0,0
136,0,429,0.191,0,0,429,0,0,0
136,1,0,0.000,0,0,0,0,0,0
136,2,0,0.000,0,0,0,0,0,0
136,3,0,0.000,0,0,0,0,0,0
137,0,429,0.105,0,0,429,0,0,0
137,1,0,0.000,0,0,0,0,0,0
137,2,0,0.000,0,0,0,0,0,0
137,3,27,0.111,0,0,27,0,0,0
138,0,429,0.102,0,0,429,0,0,0
138,1,0,0.000,0,0,0,0,0,0
138,2,0,0.000,0,0,0,0,0,0
138,3,27,0.104,0,0,27,0,0,0
139,0,429,0.104,0,0,429,0,0,0
139,1,0,0.000,0,0,0,0,0,0
139,2,0,0.000,0,0,0,0,0,0
139,3,0,0.000,0,0,0,0,0,0
140,0,0,0.000,0,0,0,0,0,0
140,1,0,0.000,0,0,0,0,0,0
140,2,0,0.000,0,0,0,0,0,0
140,3,0,0.000,0,0,0,0,0,0
141,0,429,0.119,0,0,429,0,0,0
141,1,0,0.000,0,0,0,0,0,0
141,2,0,0.000,0,0,0,0,0,0
141,3,0,0.000,0,0,0,0,0,0
142,0,0,0.000,0,0,0,0,0,0
142,1,0,0.000,0,0,0,0,0,0
142,2,0,0.000,0,0,0,0,0,0
142,3,0,0.000,0,0,0,0,0,0
143,0,429,0.083,0,0,429,0,0,0
143,1,0,0.000,0,0,0,0,0,0
143,2,26,0.099,0,0,26,0,0,0
143,3,26,0.084,0,0,26,0,0,0
144,0,429,0.131,0,0,429,0,0,0
144,1,0,0.000,0,0,0,0,0,0
144,2,26,0.137,0,0,26,0,0,0
144,3,26,0.121,0,0,26,0,0,0
145,0,429,0.185,0,0,429,0,0,0
145,1,0,0.000,0,0,0,0,0,0
145,2,26,0.189,0,0,26,0,0,0
145,3,26,0.186,0,0,26,0,0,0
146,0,429,0.103,0,0,429,0,0,0
146,1,0,0.000,0,0,0,0,0,0
146,2,26,0.111,0,0,26,0,0,0
146,3,26,0.114,0,0,26,0,0,0
147,0,429,0.116,0,0,429,0,0,0
147,1,0,0.000,0,0,0,0,0,0
147,2,26,0.122,0,0,26,0,0,0
147,3,26,0.108,0,0,26,0,0,0
148,0,429,0.119,0,0,429,0,0,0
148,1,0,0.000,0,0,0,0,0,0
148,2,26,0.122,0,0,26,0,0,0
148,3,26,0.108,0,0,26,0,0,0
149,0,429,0.121,0,0,429,0,0,0
149,1,0,0.000,0,0,0,0,0,0
149,2,26,0.126,0,0,26,0,0,0
149,3,26,0.127,0,0,26,0,0,0
150,0,0,0.000,0,0,0,0,0,0
